Copies_ID	BookId	BranchID	Number of Copies
0	1	1	5
1	2	1	6
2	3	1	7
3	4	1	3
4	5	1	62
5	6	1	65
6	7	1	5
7	8	1	8
8	9	1	4
9	10	1	6
10	11	1	5
11	12	1	3
12	13	1	62
13	14	1	4
14	15	1	6
15	16	1	2
16	17	1	35
17	18	1	52
18	19	1	8
19	20	1	62
20	1	2	52
21	2	2	35
22	3	2	65
23	4	2	62
24	5	2	62
25	6	2	62
26	7	2	8
27	8	2	8
28	9	2	7
29	10	2	5
30	11	2	5
31	12	2	5
32	13	2	4
33	14	2	4
34	15	2	3
35	16	2	3
36	17	2	2
37	18	2	6
38	19	2	6
39	20	2	6
40	1	3	5
41	2	3	6
42	3	3	7
43	4	3	3
44	5	3	62
45	6	3	65
46	7	3	5
47	8	3	8
48	9	3	4
49	10	3	6
50	11	3	5
51	12	3	3
52	13	3	62
53	14	3	4
54	15	3	6
55	16	3	2
56	17	3	35
57	18	3	52
58	19	3	8
59	20	3	62
60	1	4	6
61	2	4	6
62	3	4	6
63	4	4	2
64	5	4	3
65	6	4	3
66	7	4	4
67	8	4	4
68	9	4	5
69	10	4	5
70	11	4	5
71	12	4	7
72	13	4	8
73	14	4	8
74	15	4	62
75	16	4	62
76	17	4	62
77	18	4	65
78	19	4	35
79	20	4	52
80	1	5	52
81	2	5	35
82	3	5	65
83	4	5	62
84	5	5	62
85	6	5	62
86	7	5	8
87	8	5	8
88	9	5	7
89	10	5	5
90	11	5	5
91	12	5	5
92	13	5	4
93	14	5	4
94	15	5	3
95	16	5	3
96	17	5	2
97	18	5	6
98	19	5	6
99	20	5	6
100	1	6	3
101	2	6	62
102	3	6	65
103	4	6	5
104	5	6	8
105	6	6	4
106	7	6	6
107	8	6	5
108	9	6	3
109	10	6	62
110	11	6	4
111	12	6	6
112	13	6	2
113	14	6	35
114	15	6	52
115	16	6	8
116	17	6	62
117	18	6	52
118	19	6	35
119	20	6	65
