Out_ID	BookId	BranchID	CardNumber	CheckOut	DueDate
0	1	1	4299023	12/1/2015	12/16/2015
1	2	1			
2	3	1	4299023	12/1/2015	12/16/2015
3	4	1			
4	5	1			
5	6	1	4299023	12/1/2015	12/16/2015
6	7	1			
7	8	1	4299023	12/1/2015	12/16/2015
8	9	1			
9	10	1			
10	11	1	4299023	12/1/2015	12/16/2015
11	12	1			
12	13	1	4299045	12/6/2015	12/21/2015
13	14	1			
14	15	1			
15	16	1			
16	17	1			
17	18	1	4299045	12/6/2015	12/21/2015
18	19	1			
19	20	1	4299045	12/6/2015	12/21/2015
20	1	2			
21	2	2			
22	3	2	4299011	11/22/2015	12/7/2015
23	4	2			
24	5	2	4299011	11/22/2015	12/7/2015
25	6	2			
26	7	2	4299011	11/22/2015	12/7/2015
27	8	2			
28	9	2	4299011	11/22/2015	12/7/2015
29	10	2			
30	11	2			
31	12	2			
32	13	2			
33	14	2	4299092	11/19/2015	12/4/2015
34	15	2	4299092	11/19/2015	12/4/2015
35	16	2			
36	17	2	4299092	11/19/2015	12/4/2015
37	18	2			
38	19	2	4299092	11/19/2015	12/4/2015
39	20	2			
40	1	3	4299000	12/2/2015	12/17/2015
41	2	3			
42	3	3			
43	4	3	4299000	12/2/2015	12/17/2015
44	5	3			
45	6	3			
46	7	3	4299000	12/2/2015	12/17/2015
47	8	3			
48	9	3	4299000	12/2/2015	12/17/2015
49	10	3			
50	11	3	4299032	11/18/2015	12/3/2015
51	12	3			
52	13	3			
53	14	3	4299032	11/18/2015	12/3/2015
54	15	3			
55	16	3			
56	17	3	4299032	11/18/2015	12/3/2015
57	18	3			
58	19	3			
59	20	3	4299032	11/18/2015	12/3/2015
60	1	4			
61	2	4			
62	3	4	4299057	11/12/2015	11/27/2015
63	4	4			
64	5	4			
65	6	4	4299057	11/12/2015	11/27/2015
66	7	4			
67	8	4			
68	9	4	4299057	11/12/2015	11/27/2015
69	10	4			
70	11	4	4299057	11/12/2015	11/27/2015
71	12	4			
72	13	4	4299072	12/3/2015	12/18/2015
73	14	4			
74	15	4	4299072	12/3/2015	12/18/2015
75	16	4			
76	17	4	4299072	12/3/2015	12/18/2015
77	18	4			
78	19	4	4299072	12/3/2015	12/18/2015
79	20	4			
80	1	5			
81	2	5	4299073	12/2/2015	12/17/2015
82	3	5			
83	4	5	4299073	12/2/2015	12/17/2015
84	5	5			
85	6	5	4299073	12/2/2015	12/17/2015
86	7	5		12/2/2015	12/17/2015
87	8	5			
88	9	5	4299089	11/14/2015	11/29/2015
89	10	5			
90	11	5	4299089	11/14/2015	11/29/2015
91	12	5			
92	13	5	4299089	11/14/2015	11/29/2015
93	14	5			
94	15	5			
95	16	5			
96	17	5			
97	18	5			
98	19	5			
99	20	5	4299089	11/14/2015	11/29/2015
